antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Rock', 'Improve', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.11956521739130435,0.7595108695652174,0.11548913043478261,0.9659090909090908,1.2717515043096437,1.0,0.02467804820415878,7.054347826086939,0.24270152505446613,0.15124555160142347,0.8582434514637901,0.5589831679947959
"frozenset({'High Hours', 'Improve', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.1983695652173913,0.7595108695652174,0.19157608695652173,0.9657534246575342,1.2715465483863062,1.0,0.04091224598298676,7.0222826086956465,0.2664022118043034,0.25,0.8575961612878259,0.6089947803073001
"frozenset({'High Hours', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.24864130434782608,0.7595108695652174,0.23369565217391305,0.9398907103825137,1.2374947456914671,1.0,0.0448498788988658,4.000864624505931,0.2554249547920434,0.30175438596491233,0.7500540273532773,0.6237915090374107
"frozenset({'Improve', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.47690217391304346,0.7595108695652174,0.44021739130434784,0.9230769230769231,1.2153570937112976,1.0,0.07800500649810965,3.1263586956521756,0.33874458874458874,0.5529010238907851,0.6801390699695786,0.7513416815742398
"frozenset({'Rock', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.1671195652173913,0.7595108695652174,0.15353260869565216,0.9186991869918699,1.2095932050554852,1.0,0.026603482396030248,2.958016304347826,0.20804400236758147,0.1985940246045694,0.6619356024068715,0.5604229387553268
frozenset({'Depression_Present'}),frozenset({'Anxiety_Present'}),0.6222826086956522,0.7595108695652174,0.563858695652174,0.9061135371179039,1.1930224746310862,1.0,0.09122829040642721,2.5614888776541944,0.4283435901880905,0.6893687707641196,0.609602052648459,0.8242553374319395
"frozenset({'Low-Medium', 'Improve', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.27853260869565216,0.7595108695652174,0.24864130434782608,0.8926829268292683,1.1753392381866574,1.0,0.03709276051512286,2.240921442687747,0.2067755446471756,0.31497418244406195,0.5537549951770705,0.6100266154718792
"frozenset({'Low-Medium', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.3736413043478261,0.7595108695652174,0.33016304347826086,0.8836363636363636,1.1634281997072693,1.0,0.04637841150756139,2.0667034646739113,0.22426644528355766,0.41116751269035534,0.516137647663071,0.6591705968450154
"frozenset({'No effect', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.125,0.7595108695652174,0.10733695652173914,0.8586956521739131,1.1305903398926656,1.0,0.01239809782608696,1.7019230769230773,0.13200723327305608,0.13811188811188813,0.4124293785310736,0.5000097223302481
"frozenset({'Rock', 'Improve'})",frozenset({'Anxiety_Present'}),0.17391304347826086,0.7595108695652174,0.1453804347826087,0.8359375000000001,1.1006261180679786,1.0,0.013291587901701318,1.4658385093167712,0.11067388096409243,0.18448275862068966,0.31779661016949196,0.5136753689624329
"frozenset({'High Hours', 'Anxiety_Present'})",frozenset({'Improve'}),0.28940217391304346,0.7472826086956522,0.23777173913043478,0.8215962441314555,1.099445155783184,1.0,0.02150652764650285,1.416547482837529,0.12728762633160345,0.29761904761904756,0.2940582563481248,0.5698890311566368
