antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Improve', 'Anxiety_Absent'})",frozenset({'Depression_Absent'}),0.15353260869565216,0.37771739130434784,0.11684782608695653,0.7610619469026549,2.0148978162602664,1.0,0.058855889650283565,2.604367954911434,0.5950576729254545,0.28196721311475414,0.6160296788654018,0.5352072324441333
frozenset({'Depression_Absent'}),"frozenset({'Improve', 'Anxiety_Absent'})",0.37771739130434784,0.15353260869565216,0.11684782608695653,0.30935251798561153,2.0148978162602664,1.0,0.058855889650283565,1.2256142436594206,0.8094343454859351,0.28196721311475414,0.1840825894661478,0.5352072324441333
frozenset({'Depression_Absent'}),frozenset({'Anxiety_Absent'}),0.37771739130434784,0.24048913043478262,0.18206521739130435,0.48201438848920863,2.0043084176726413,1.0,0.09122829040642721,1.4662779287439613,0.8052206217819201,0.41744548286604355,0.31800105532747325,0.619538267690932
frozenset({'Anxiety_Absent'}),frozenset({'Depression_Absent'}),0.24048913043478262,0.37771739130434784,0.18206521739130435,0.7570621468926554,2.0043084176726413,1.0,0.09122829040642721,2.561488877654196,0.6597335326943101,0.41744548286604355,0.6096020526484593,0.619538267690932
frozenset({'Depression_Absent'}),"frozenset({'Anxiety_Absent', 'Low-Medium'})",0.37771739130434784,0.16032608695652173,0.11684782608695653,0.30935251798561153,1.9295207901475433,1.0,0.05628987476370511,1.2157778532608696,0.7741444094648118,0.27741935483870966,0.17748131591813932,0.5190830386538228
"frozenset({'Anxiety_Absent', 'Low-Medium'})",frozenset({'Depression_Absent'}),0.16032608695652173,0.37771739130434784,0.11684782608695653,0.728813559322034,1.929520790147543,1.0,0.05628987476370511,2.2946671195652177,0.5737186723865433,0.27741935483870966,0.5642069424913035,0.5190830386538228
"frozenset({'Depression_Absent', 'Low-Medium'})",frozenset({'Anxiety_Absent'}),0.25679347826086957,0.24048913043478262,0.11684782608695653,0.45502645502645506,1.8920874062117001,1.0,0.05509178579867675,1.3936655761924865,0.6343905446197016,0.30714285714285716,0.28246774758402665,0.47045108062057217
frozenset({'Anxiety_Absent'}),"frozenset({'Depression_Absent', 'Low-Medium'})",0.24048913043478262,0.25679347826086957,0.11684782608695653,0.4858757062146893,1.8920874062117001,1.0,0.05509178579867675,1.445577520305781,0.620772142946291,0.30714285714285716,0.30823495388301886,0.47045108062057217
frozenset({'Anxiety_Absent'}),"frozenset({'Improve', 'Depression_Absent'})",0.24048913043478262,0.2703804347826087,0.11684782608695653,0.4858757062146893,1.7970076370553332,1.0,0.051824270439508505,1.4191501433349258,0.5839539043973873,0.296551724137931,0.2953529232290713,0.4590182551173949
"frozenset({'Improve', 'Depression_Absent'})",frozenset({'Anxiety_Absent'}),0.2703804347826087,0.24048913043478262,0.11684782608695653,0.4321608040201005,1.797007637055333,1.0,0.051824270439508505,1.33754569065025,0.6078775280412281,0.296551724137931,0.2523619888350518,0.4590182551173949
