antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Anxiety_Present'}),frozenset({'Improve'}),0.7595108695652174,0.7472826086956522,0.59375,0.7817531305903399,1.0461278256627093,1.0,0.02618073605860105,1.1579428011404134,0.18335078669407434,0.650297619047619,0.13639948448650616,0.7881492925678972
frozenset({'Improve'}),frozenset({'Anxiety_Present'}),0.7472826086956522,0.7595108695652174,0.59375,0.7945454545454546,1.0461278256627093,1.0,0.02618073605860105,1.1705223162754905,0.17447897443468366,0.650297619047619,0.14568053415511042,0.7881492925678972
frozenset({'Anxiety_Present'}),frozenset({'Depression_Present'}),0.7595108695652174,0.6222826086956522,0.563858695652174,0.7423971377459749,1.1930224746310862,1.0,0.09122829040642721,1.4662779287439611,0.6727656388264923,0.6893687707641196,0.31800105532747314,0.8242553374319395
frozenset({'Depression_Present'}),frozenset({'Anxiety_Present'}),0.6222826086956522,0.7595108695652174,0.563858695652174,0.9061135371179039,1.1930224746310862,1.0,0.09122829040642721,2.5614888776541944,0.4283435901880905,0.6893687707641196,0.609602052648459,0.8242553374319395
frozenset({'Improve'}),frozenset({'Depression_Present'}),0.7472826086956522,0.6222826086956522,0.47690217391304346,0.6381818181818181,1.0255498213576815,1.0,0.011881202741020724,1.0439425387808603,0.09858162546334534,0.5342465753424657,0.04209287115761896,0.7022786820166732
frozenset({'Depression_Present'}),frozenset({'Improve'}),0.6222826086956522,0.7472826086956522,0.47690217391304346,0.7663755458515283,1.0255498213576815,1.0,0.011881202741020724,1.0817249085737501,0.0659574904179217,0.5342465753424657,0.0755505470254023,0.7022786820166732
frozenset({'Low-Medium'}),frozenset({'Anxiety_Present'}),0.6304347826086957,0.7595108695652174,0.4701086956521739,0.7456896551724137,0.9818024797976681,1.0,-0.00871337429111535,0.9456521739130431,-0.047757811235227654,0.5110782865583455,-0.057471264367816535,0.6823260440441674
frozenset({'Anxiety_Present'}),frozenset({'Low-Medium'}),0.7595108695652174,0.6304347826086957,0.4701086956521739,0.6189624329159212,0.9818024797976681,1.0,-0.00871337429111535,0.969891814656052,-0.07155635062611836,0.5110782865583455,-0.031042828580448493,0.6823260440441674
frozenset({'Improve'}),frozenset({'Low-Medium'}),0.7472826086956522,0.6304347826086957,0.453804347826087,0.6072727272727273,0.9632601880877742,1.0,-0.017308601134215507,0.9410225442834138,-0.13113286713286718,0.49117647058823527,-0.06267379679144386,0.6635501567398119
frozenset({'Low-Medium'}),frozenset({'Improve'}),0.6304347826086957,0.7472826086956522,0.453804347826087,0.7198275862068966,0.9632601880877742,1.0,-0.017308601134215507,0.9020066889632106,-0.09355044699872288,0.49117647058823527,-0.10863922877271052,0.6635501567398119
"frozenset({'Improve', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.47690217391304346,0.7595108695652174,0.44021739130434784,0.9230769230769231,1.2153570937112976,1.0,0.07800500649810965,3.1263586956521756,0.33874458874458874,0.5529010238907851,0.6801390699695786,0.7513416815742398
"frozenset({'Anxiety_Present', 'Depression_Present'})",frozenset({'Improve'}),0.563858695652174,0.7472826086956522,0.44021739130434784,0.7807228915662651,1.044749178532311,1.0,0.0188555942816635,1.1525023889154322,0.09820776123995224,0.5054602184087363,0.13232283974608097,0.684906900328587
"frozenset({'Improve', 'Anxiety_Present'})",frozenset({'Depression_Present'}),0.59375,0.6222826086956522,0.44021739130434784,0.7414187643020596,1.1914502413238337,1.0,0.07073709239130432,1.4607300884955754,0.39553656220322875,0.5674255691768826,0.31541082923135183,0.7244211725440428
frozenset({'Improve'}),"frozenset({'Anxiety_Present', 'Depression_Present'})",0.7472826086956522,0.563858695652174,0.44021739130434784,0.5890909090909091,1.044749178532311,1.0,0.0188555942816635,1.0614058291650634,0.1694875879463692,0.5054602184087363,0.05785329934862642,0.684906900328587
frozenset({'Depression_Present'}),"frozenset({'Improve', 'Anxiety_Present'})",0.6222826086956522,0.59375,0.44021739130434784,0.7074235807860262,1.1914502413238335,1.0,0.07073709239130432,1.388526119402985,0.42541522337685395,0.5674255691768826,0.2798118911656029,0.7244211725440428
frozenset({'Anxiety_Present'}),"frozenset({'Improve', 'Depression_Present'})",0.7595108695652174,0.47690217391304346,0.44021739130434784,0.5796064400715564,1.2153570937112976,1.0,0.07800500649810965,1.2443050416281223,0.7368173258003767,0.5529010238907851,0.19633854517575455,0.7513416815742398
frozenset({'Depression_Present'}),frozenset({'Low-Medium'}),0.6222826086956522,0.6304347826086957,0.3736413043478261,0.6004366812227074,0.9524168046980876,1.0,-0.018667296786389453,0.9249227845093846,-0.11681800328088562,0.42503863987635243,-0.08117133316208583,0.5965545475079055
frozenset({'Low-Medium'}),frozenset({'Depression_Present'}),0.6304347826086957,0.6222826086956522,0.3736413043478261,0.5926724137931034,0.9524168046980875,1.0,-0.018667296786389453,0.9273061881757533,-0.11908799698511424,0.42503863987635243,-0.07839245844703566,0.5965545475079055
"frozenset({'Low-Medium', 'Improve'})",frozenset({'Anxiety_Present'}),0.453804347826087,0.7595108695652174,0.35597826086956524,0.784431137724551,1.0328109434083532,1.0,0.011308926039697575,1.115602355072464,0.05816338156545533,0.41521394611727414,0.10362326195067519,0.6265626171628121
frozenset({'Anxiety_Present'}),"frozenset({'Low-Medium', 'Improve'})",0.7595108695652174,0.453804347826087,0.35597826086956524,0.46869409660107336,1.0328109434083532,1.0,0.011308926039697575,1.0280248133509002,0.13209988355544094,0.41521394611727414,0.02726083357808453,0.6265626171628121
"frozenset({'Improve', 'Anxiety_Present'})",frozenset({'Low-Medium'}),0.59375,0.6304347826086957,0.35597826086956524,0.5995423340961099,0.9509981851179674,1.0,-0.018342391304347838,0.9228571428571429,-0.11255862428348105,0.41001564945226915,-0.08359133126934973,0.5820987532549515
frozenset({'Low-Medium'}),"frozenset({'Improve', 'Anxiety_Present'})",0.6304347826086957,0.59375,0.35597826086956524,0.5646551724137931,0.9509981851179674,1.0,-0.018342391304347838,0.9331683168316832,-0.12236453201970453,0.41001564945226915,-0.0716180371352784,0.5820987532549515
"frozenset({'Low-Medium', 'Anxiety_Present'})",frozenset({'Improve'}),0.4701086956521739,0.7472826086956522,0.35597826086956524,0.7572254335260117,1.0133053074093537,1.0,0.004674208412098313,1.0409549689440998,0.024779800352319508,0.41324921135646686,0.039343650941637456,0.6167945349448241
frozenset({'Improve'}),"frozenset({'Low-Medium', 'Anxiety_Present'})",0.7472826086956522,0.4701086956521739,0.35597826086956524,0.4763636363636364,1.0133053074093537,1.0,0.004674208412098313,1.0119451992753623,0.05195764590002479,0.41324921135646686,0.011804195804195871,0.6167945349448241
"frozenset({'Anxiety_Present', 'Depression_Present'})",frozenset({'Low-Medium'}),0.563858695652174,0.6304347826086957,0.33016304347826086,0.5855421686746988,0.92879102617366,1.0,-0.02531309073724014,0.8916835187057632,-0.149506623780189,0.3820754716981132,-0.1214741318214034,0.5546245326132114
"frozenset({'Low-Medium', 'Anxiety_Present'})",frozenset({'Depression_Present'}),0.4701086956521739,0.6222826086956522,0.33016304347826086,0.7023121387283238,1.1286064063407124,1.0,0.03762257797731566,1.2688370620514986,0.21504695578769634,0.4331550802139037,0.2118767413814614,0.6164399121589217
"frozenset({'Low-Medium', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.3736413043478261,0.7595108695652174,0.33016304347826086,0.8836363636363636,1.1634281997072693,1.0,0.04637841150756139,2.0667034646739113,0.22426644528355766,0.41116751269035534,0.516137647663071,0.6591705968450154
frozenset({'Depression_Present'}),"frozenset({'Low-Medium', 'Anxiety_Present'})",0.6222826086956522,0.4701086956521739,0.33016304347826086,0.5305676855895196,1.1286064063407122,1.0,0.03762257797731566,1.1287917087967645,0.30168457826331513,0.4331550802139037,0.11409696562534985,0.6164399121589217
frozenset({'Low-Medium'}),"frozenset({'Anxiety_Present', 'Depression_Present'})",0.6304347826086957,0.563858695652174,0.33016304347826086,0.5237068965517241,0.92879102617366,1.0,-0.02531309073724014,0.9156993901239424,-0.17181234963913433,0.3820754716981132,-0.09206144591255794,0.5546245326132114
frozenset({'Anxiety_Present'}),"frozenset({'Low-Medium', 'Depression_Present'})",0.7595108695652174,0.3736413043478261,0.33016304347826086,0.4347048300536672,1.1634281997072693,1.0,0.04637841150756139,1.1080206040176113,0.5841063913882489,0.41116751269035534,0.097489706983729,0.6591705968450154
frozenset({'Improve'}),frozenset({'High Hours'}),0.7472826086956522,0.3695652173913043,0.29347826086956524,0.39272727272727276,1.062673796791444,1.0,0.017308601134215507,1.0381411090861756,0.23337315810434098,0.3564356435643565,0.03673981191222579,0.5934224598930482
frozenset({'High Hours'}),frozenset({'Improve'}),0.3695652173913043,0.7472826086956522,0.29347826086956524,0.7941176470588237,1.062673796791444,1.0,0.017308601134215507,1.2274844720496902,0.09355044699872288,0.3564356435643565,0.18532574320050657,0.5934224598930482
frozenset({'High Hours'}),frozenset({'Anxiety_Present'}),0.3695652173913043,0.7595108695652174,0.28940217391304346,0.7830882352941176,1.0310428285804483,1.0,0.008713374291115294,1.1086956521739129,0.04775781123522736,0.34466019417475724,0.09803921568627443,0.5820629011890981
frozenset({'Anxiety_Present'}),frozenset({'High Hours'}),0.7595108695652174,0.3695652173913043,0.28940217391304346,0.38103756708407865,1.0310428285804483,1.0,0.008713374291115294,1.0185348077406382,0.1251956181533644,0.34466019417475724,0.018197520202331695,0.5820629011890981
"frozenset({'Low-Medium', 'Depression_Present'})",frozenset({'Improve'}),0.3736413043478261,0.7472826086956522,0.27853260869565216,0.7454545454545454,0.9975537190082643,1.0,-0.0006830399338374482,0.992818322981366,-0.003899868247694443,0.3306451612903225,-0.007233626588465806,0.5590909090909091
"frozenset({'Improve', 'Depression_Present'})",frozenset({'Low-Medium'}),0.47690217391304346,0.6304347826086957,0.27853260869565216,0.584045584045584,0.926417133313685,1.0,-0.02212310964083175,0.8884752829064919,-0.13182413182413177,0.33606557377049173,-0.12552371375900795,0.5129279644365852
frozenset({'Improve'}),"frozenset({'Low-Medium', 'Depression_Present'})",0.7472826086956522,0.3736413043478261,0.27853260869565216,0.3727272727272727,0.9975537190082643,1.0,-0.0006830399338374482,0.9985428481411466,-0.009610389610389876,0.3306451612903225,-0.001459278248866204,0.5590909090909091
frozenset({'Depression_Present'}),"frozenset({'Low-Medium', 'Improve'})",0.6222826086956522,0.453804347826087,0.27853260869565216,0.4475982532751091,0.9863242946421565,1.0,-0.003861944706994358,0.9887652517614709,-0.03540841542263321,0.3492333901192503,-0.011362401963979382,0.5306853541824647
"frozenset({'Low-Medium', 'Improve'})",frozenset({'Depression_Present'}),0.453804347826087,0.6222826086956522,0.27853260869565216,0.6137724550898203,0.9863242946421565,1.0,-0.003861944706994358,0.9779659588810242,-0.02475681048969273,0.3492333901192503,-0.022530478611123467,0.5306853541824647
frozenset({'Low-Medium'}),"frozenset({'Improve', 'Depression_Present'})",0.6304347826086957,0.47690217391304346,0.27853260869565216,0.4418103448275862,0.926417133313685,1.0,-0.02212310964083175,0.9371327849588719,-0.17690127538970235,0.33606557377049173,-0.0670846394984326,0.5129279644365852
frozenset({'Depression_Absent'}),frozenset({'Improve'}),0.37771739130434784,0.7472826086956522,0.2703804347826087,0.7158273381294964,0.9579071288423806,1.0,-0.011881202741020835,0.8893093010456795,-0.0659574904179223,0.3163751987281399,-0.12446816740156286,0.5388227599738391
frozenset({'Improve'}),frozenset({'Depression_Absent'}),0.7472826086956522,0.37771739130434784,0.2703804347826087,0.3618181818181818,0.9579071288423806,1.0,-0.011881202741020835,0.9750867087823608,-0.14812428078250914,0.3163751987281399,-0.025549821357681645,0.5388227599738391
frozenset({'Low-Medium'}),frozenset({'Depression_Absent'}),0.6304347826086957,0.37771739130434784,0.25679347826086957,0.4073275862068965,1.0783924584470355,1.0,0.018667296786389398,1.0499604743083004,0.19670090258325537,0.3417721518987342,0.047583195301912296,0.5435918506574051
frozenset({'Depression_Absent'}),frozenset({'Low-Medium'}),0.37771739130434784,0.6304347826086957,0.25679347826086957,0.6798561151079137,1.0783924584470355,1.0,0.018667296786389398,1.154372252076209,0.11681800328088529,0.3417721518987342,0.1337283114684722,0.5435918506574051
frozenset({'Anxiety_Present'}),"frozenset({'Low-Medium', 'Improve', 'Depression_Present'})",0.7595108695652174,0.27853260869565216,0.24864130434782608,0.32737030411449014,1.1753392381866574,1.0,0.03709276051512286,1.0726071056891768,0.6203266339415269,0.31497418244406195,0.06769217293458521,0.6100266154718792
frozenset({'Depression_Present'}),"frozenset({'Low-Medium', 'Improve', 'Anxiety_Present'})",0.6222826086956522,0.35597826086956524,0.24864130434782608,0.39956331877729256,1.1224374145804858,1.0,0.027122223534971596,1.072588932806324,0.28879191728584297,0.34078212290502785,0.06767637683562723,0.5490183006100202
frozenset({'Improve'}),"frozenset({'Low-Medium', 'Anxiety_Present', 'Depression_Present'})",0.7472826086956522,0.33016304347826086,0.24864130434782608,0.3327272727272727,1.007766554433221,1.0,0.001916203922495252,1.0038428503731787,0.030495328750219996,0.3,0.0038281394062326863,0.5429068462401796
frozenset({'Low-Medium'}),"frozenset({'Improve', 'Anxiety_Present', 'Depression_Present'})",0.6304347826086957,0.44021739130434784,0.24864130434782608,0.3943965517241379,0.8959131545338441,1.0,-0.028887051039697548,0.9243385424725358,-0.2391782831988261,0.3024793388429752,-0.0818547037161032,0.47960568326947633
"frozenset({'Low-Medium', 'Improve'})","frozenset({'Anxiety_Present', 'Depression_Present'})",0.453804347826087,0.563858695652174,0.24864130434782608,0.5479041916167664,0.9717047832046748,1.0,-0.007240223298676768,0.964709904981284,-0.050614288664051335,0.32332155477031793,-0.036581043520435993,0.49443402351922655
"frozenset({'Anxiety_Present', 'Depression_Present'})","frozenset({'Low-Medium', 'Improve'})",0.563858695652174,0.453804347826087,0.24864130434782608,0.4409638554216867,0.9717047832046749,1.0,-0.007240223298676768,0.9770310157421289,-0.0625867709247588,0.32332155477031793,-0.023508961218006465,0.49443402351922655
"frozenset({'Improve', 'Anxiety_Present'})","frozenset({'Low-Medium', 'Depression_Present'})",0.59375,0.3736413043478261,0.24864130434782608,0.41876430205949655,1.1207655502392344,1.0,0.026791779891304324,1.077632874015748,0.2652374947456912,0.3459357277882797,0.07204018723598579,0.542109423757021
"frozenset({'Low-Medium', 'Improve', 'Anxiety_Present'})",frozenset({'Depression_Present'}),0.35597826086956524,0.6222826086956522,0.24864130434782608,0.698473282442748,1.1224374145804858,1.0,0.027122223534971596,1.2526829939460644,0.1693758502224986,0.34078212290502785,0.20171343840957728,0.5490183006100202
"frozenset({'Low-Medium', 'Improve', 'Depression_Present'})",frozenset({'Anxiety_Present'}),0.27853260869565216,0.7595108695652174,0.24864130434782608,0.8926829268292683,1.1753392381866574,1.0,0.03709276051512286,2.240921442687747,0.2067755446471756,0.31497418244406195,0.5537549951770705,0.6100266154718792
"frozenset({'Low-Medium', 'Depression_Present'})","frozenset({'Improve', 'Anxiety_Present'})",0.3736413043478261,0.59375,0.24864130434782608,0.6654545454545454,1.1207655502392344,1.0,0.026791779891304324,1.2143342391304346,0.17203039247063273,0.3459357277882797,0.1765034965034964,0.542109423757021
"frozenset({'Low-Medium', 'Anxiety_Present'})","frozenset({'Improve', 'Depression_Present'})",0.4701086956521739,0.47690217391304346,0.24864130434782608,0.5289017341040463,1.1090361148164618,1.0,0.024445445415879036,1.110379434515871,0.18554014291719223,0.3560311284046693,0.09940695143007293,0.5251346277357838
frozenset({'Depression_Present'}),frozenset({'High Hours'}),0.6222826086956522,0.3695652173913043,0.24864130434782608,0.39956331877729256,1.0811713331620858,1.0,0.018667296786389398,1.0499604743083004,0.19876557770177286,0.3345521023765996,0.04758319530191238,0.5361787182121758
frozenset({'High Hours'}),frozenset({'Depression_Present'}),0.3695652173913043,0.6222826086956522,0.24864130434782608,0.6727941176470589,1.0811713331620858,1.0,0.018667296786389398,1.1543722520762092,0.11908799698511391,0.3345521023765996,0.13372831146847233,0.5361787182121758
"frozenset({'Low-Medium', 'Anxiety_Present', 'Depression_Present'})",frozenset({'Improve'}),0.33016304347826086,0.7472826086956522,0.24864130434782608,0.7530864197530864,1.007766554433221,1.0,0.001916203922495252,1.0235054347826085,0.011505337013267584,0.3,0.022965617947696686,0.5429068462401796
"frozenset({'Improve', 'Anxiety_Present', 'Depression_Present'})",frozenset({'Low-Medium'}),0.44021739130434784,0.6304347826086957,0.24864130434782608,0.5648148148148148,0.8959131545338441,1.0,-0.028887051039697548,0.8492136910268269,-0.17187294055621458,0.3024793388429752,-0.1775599128540307,0.47960568326947633
"frozenset({'Improve', 'Depression_Present'})","frozenset({'Low-Medium', 'Anxiety_Present'})",0.47690217391304346,0.4701086956521739,0.24864130434782608,0.5213675213675214,1.1090361148164618,1.0,0.024445445415879036,1.1070943322981368,0.18794975516287007,0.3560311284046693,0.09673460442691222,0.5251346277357838
"frozenset({'Improve', 'Anxiety_Present'})",frozenset({'High Hours'}),0.59375,0.3695652173913043,0.23777173913043478,0.40045766590389015,1.08359133126935,1.0,0.018342391304347838,1.0515267175572518,0.18989010989011001,0.32771535580524347,0.04900181488203269,0.5219200094225334
frozenset({'High Hours'}),"frozenset({'Improve', 'Anxiety_Present'})",0.3695652173913043,0.59375,0.23777173913043478,0.6433823529411765,1.08359133126935,1.0,0.018342391304347838,1.139175257731959,0.1223645320197045,0.32771535580524347,0.12217194570135757,0.5219200094225334
frozenset({'Improve'}),"frozenset({'High Hours', 'Anxiety_Present'})",0.7472826086956522,0.28940217391304346,0.23777173913043478,0.3181818181818182,1.099445155783184,1.0,0.02150652764650285,1.0422101449275363,0.3579109062980034,0.29761904761904756,0.04050060837823746,0.5698890311566368
frozenset({'Anxiety_Present'}),"frozenset({'High Hours', 'Improve'})",0.7595108695652174,0.29347826086956524,0.23777173913043478,0.31305903398926654,1.066719671370834,1.0,0.014871810018903558,1.028504302536232,0.2600807102502012,0.29166666666666663,0.02771432503096184,0.5616221095872258
"frozenset({'High Hours', 'Anxiety_Present'})",frozenset({'Improve'}),0.28940217391304346,0.7472826086956522,0.23777173913043478,0.8215962441314555,1.099445155783184,1.0,0.02150652764650285,1.416547482837529,0.12728762633160345,0.29761904761904756,0.2940582563481248,0.5698890311566368
"frozenset({'High Hours', 'Improve'})",frozenset({'Anxiety_Present'}),0.29347826086956524,0.7595108695652174,0.23777173913043478,0.8101851851851851,1.066719671370834,1.0,0.014871810018903558,1.2669671261930004,0.08852747252747233,0.29166666666666663,0.2107135383971539,0.5616221095872258
frozenset({'High Hours'}),"frozenset({'Anxiety_Present', 'Depression_Present'})",0.3695652173913043,0.563858695652174,0.23369565217391305,0.6323529411764707,1.1214741318214034,1.0,0.025313090737240085,1.186304347826087,0.17181234963913397,0.3339805825242719,0.15704599596848098,0.523405386250886
"frozenset({'High Hours', 'Anxiety_Present'})",frozenset({'Depression_Present'}),0.28940217391304346,0.6222826086956522,0.23369565217391305,0.807511737089202,1.2976607827459665,1.0,0.05360571242911155,1.9622879109225884,0.3228022588821203,0.34468937875751504,0.4903907859627793,0.5915287943087931
frozenset({'Depression_Present'}),"frozenset({'High Hours', 'Anxiety_Present'})",0.6222826086956522,0.28940217391304346,0.23369565217391305,0.37554585152838427,1.2976607827459663,1.0,0.05360571242911155,1.1379503648525389,0.6072862640120464,0.34468937875751504,0.12122704918717177,0.5915287943087931
